code,name,source,confidence,logo_url,origin_url,note
UAH,Trường Đại học Kiến trúc Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/UAH.png,https://career.gpo.vn/uploads/images/truong-hoc/uah-1-.png,
UMT,Trường Đại học Quản lý và Công nghệ Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/UMT.png,https://www.umt.edu.vn/_next/image?url=%2Fassets%2Flogos%2FLogo_UMT-27.png&w=1080&q=75,
UNETI,Trường Đại học Kinh tế - Kỹ thuật Công nghiệp,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/UNETI.webp,https://uneti.edu.vn/wp-content/uploads/2025/06/Logo-nen-trang-1.webp,
VHH,Trường Đại học Văn hóa Hà Nội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/VHH.jpg,https://upload.wikimedia.org/wikipedia/vi/2/2c/DH_Van_hoa_Ha_Noi.jpg,
VJD,Trường Đại học Việt Nhật - Đại học Quốc gia Hà Nội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/VJD.png,https://upload.wikimedia.org/wikipedia/vi/thumb/a/a0/Logo_vju.svg/1280px-Logo_vju.svg.png,
VKA,Học viện Ngoại giao,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/VKA.png,https://static.dav.edu.vn/App_themes/images/logo-mobile.png,
VNC,Nhạc viện Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/VNC.png,https://upload.wikimedia.org/wikipedia/vi/thumb/c/c4/HCMCONS_Logo.svg/1280px-HCMCONS_Logo.svg.png,
VUT,Trường Đại học Công nghệ Vạn Xuân,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/VUT.jpg,https://upload.wikimedia.org/wikipedia/vi/thumb/f/f0/Logo_VXUT_2.jpg/250px-Logo_VXUT_2.jpg,
XSH,Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/XSH.png,https://upload.wikimedia.org/wikipedia/vi/thumb/4/49/Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_X%C3%A3_h%E1%BB%99i_v%C3%A0_Nh%C3%A2n_v%C4%83n%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.svg/1280px-Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_X%C3%A3_h%E1%BB%99i_v%C3%A0_Nh%C3%A2n_v%C4%83n%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.svg.png,
YDH,Trường Đại học Y Dược - Đại học Huế,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/YDH.png,https://www.huemed-univ.edu.vn/images/logo.png,
YDS,Trường Đại học Y Dược Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/YDS.png,https://upload.wikimedia.org/wikipedia/vi/thumb/6/64/Logo_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Y_D%C6%B0%E1%BB%A3c_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.svg/1280px-Logo_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Y_D%C6%B0%E1%BB%A3c_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh.svg.png,
YQD,Học viện Quân y,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/YQD.png,https://vi.wikipedia.org/static/images/icons/wikipedia.png,
DBH,Trường Đại học Bách khoa - Đại học Quốc gia Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DBH.jpg,https://hcmut.edu.vn/img/logo.jpg?t=26899198,
DBS,Trường Đại học Kinh tế Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DBS.png,https://upload.wikimedia.org/wikipedia/vi/thumb/2/20/Logo_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_UEH_c%C5%A9_tr%C6%B0%E1%BB%9Bc_ng%C3%A0y_27_th%C3%A1ng_10_n%C4%83m_2021.png/330px-Logo_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_UEH_c%C5%A9_tr%C6%B0%E1%BB%9Bc_ng%C3%A0y_27_th%C3%A1ng_10_n%C4%83m_2021.png,
DHF,Trường Đại học Ngoại ngữ - Đại học Huế,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DHF.png,https://upload.wikimedia.org/wikipedia/vi/thumb/5/55/Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Ngo%E1%BA%A1i_ng%E1%BB%AF%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Hu%E1%BA%BF.svg/1280px-Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Ngo%E1%BA%A1i_ng%E1%BB%AF%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Hu%E1%BA%BF.svg.png,
DHP,Trường Đại học Hải Phòng,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DHP.png,https://upload.wikimedia.org/wikipedia/vi/c/c7/DHHP.png,
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/QSC.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Logo_UIT_updated.svg/1280px-Logo_UIT_updated.svg.png,
RMIT,Trường Đại học RMIT Việt Nam,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/RMIT.svg,https://vi.wikipedia.org/static/images/mobile/copyright/wikipedia-wordmark-en.svg,
DCN,Trường Đại học Công nghiệp Hà Nội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DCN.svg,https://www.haui.edu.vn/dnn/web/haui/assets/images/logo-ngang.svg?v=1.2,
KMA,Học viện Kỹ thuật Mật mã,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/KMA.png,https://tuyensinhhuongnghiep.vn/upload/images/2024/01/11/tshn-ico-logo.png,
RMIT,Trường Đại học RMIT Việt Nam,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/RMIT.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/RMIT_University_Logo.svg/1280px-RMIT_University_Logo.svg.png,
SGD,Trường Đại học Sài Gòn,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/SGD.png,https://en.sgu.edu.vn/wp-content/uploads/2016/10/logo_v-1.png,
TDU,Trường Đại học Tây Nguyên,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/TDU.png,https://www.ttn.edu.vn/images/Icon/logo.png,
YQD,Học viện Quân y,none,,,,
DAG,Trường Đại học An Giang - Đại học Quốc gia Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DAG.png,https://tuyensinh.agu.edu.vn/uploads/6748448a71b4079f5dd668d2b57875e7.png,
DCT,Trường Đại học Công nghiệp Thực phẩm Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/DCT.svg,https://ts.huit.edu.vn/Images/logo-huit-ts-mau-trang-co-ma-truong.svg,
